Domain	Status	Genome	Gene Count	
A	P	Halorubrum vacuolatum DSM 8800	2	
A	D	Euryarchaeota archaeon RBG_13_61_15	1	
A	P	Thaumarchaeota archaeum JGI 001001-A11	1	
A	P	Halomicrobium zhouii CGMCC 1.10457	2	
A	F	Halobacterium salinarum NRC-1	2	
A	F	Ferroglobus placidus AEDII12DO, DSM 10642	1	
A	P	Halorubrum chaoviator DSM 19316	2	
A	P	Haloferax sp. GUBF-2, ATCC BAA-645	2	
A	P	Methanobrevibacter curvatus DSM11111	1	
A	P	Halorubrum arcis AJ201	3	
A	P	Haloferax gibbonsii ATCC 33959	3	
A	P	Halorubrum hochstenium 1-13-28	3	
A	D	Euryarchaeota archaeon RBG_13_57_23	1	
A	P	Halovivax asiaticus JCM 14624	1	
A	P	Uncultured archaeon A07HN63	1	
A	F	Candidatus Korarchaeum cryptofilum OPF8	1	
A	D	Methanobrevibacter sp. 87.7 (Genome asembly of Methonobrevibacter sp. 87.7)	2	
A	P	Haladaptatus paucihalophilus DX253	2	
A	P	Methanobrevibacter gottschalkii DSM 11978	1	
A	P	Haloterrigena hispanica CDM_6	3	
A	F	Halodesulfurarchaeum formicicum HSR6	2	
A	F	Thermococcus piezophilus CDGS	1	
A	P	Haladaptatus sp. R4	2	
A	P	Halonotius sp. J07HN4 (version 2)	2	
A	P	Thermococcus zilligii AN1	1	
A	P	candidate divison MSBL1 archaeon SCGC-AAA259I14	1	
A	P	Aigarchaeota archaeon OS1	2	
A	P	Halogranum rubrum CGMCC 1.7738	3	
A	P	Methanobrevibacter smithii F1, DSM 2374	1	
A	P	Methanobrevibacter smithii TS146D	1	
A	P	Haloterrigena hispanica CDM_1	3	
A	D	Unclassfied Crenarchaeota JZZ bin_31	1	
A	F	Haloferax mediterranei R-4	3	
A	F	Thermococcus sp. AM4	1	
A	P	Halobacteriaceae archaeon G22	2	
A	F	Candidatus Nitrososphaera gargensis Ga9-2	1	
A	P	Crenarchaeota archaeon SCGC AAA261-N23 (unscreened)	3	
A	F	Thermofilum uzonense 1807-2	1	
A	P	Haloquadratum sp. J07HQX50 (version 2)	3	
A	P	candidate divison MSBL1 archaeon SCGC-AAA259D14	1	
A	P	Haloferax elongans ATCC BAA-1513	2	
A	P	Halobaculum gomorrense DSM 9297	2	
A	F	Archaeoglobus veneficus SNP6, DSM 11195	1	
A	P	Halalkalicoccus jeotgali B3, DSM 18796	3	
A	P	Natronorubrum sulfidifaciens JCM 14089	3	
A	F	Candidatus Methanomethylophilus alvus Mx1201	1	
A	F	Thermococcus kodakarensis KOD1	1	
A	P	Halobiforma nitratireducens JCM 10879	4	
A	P	Methanobrevibacter smithii TS95B	1	
A	P	Methanomassiliicoccus luminyensis B10	2	
A	P	Euryarchaeota sp. AmaM (Standard draft)	1	
A	P	Natronorubrum texcoconense DSM 25211	3	
A	P	Haloferax sp. GUBF-1, ATCC BAA-644	2	
A	F	Thermococcus peptonophilus OG-1	1	
A	F	Halorubrum lacusprofundi ATCC 49239	4	
A	P	Halorientalis regularis IBRC-M 10760	3	
A	F	Methanococcus maripaludis C5	1	
A	P	Halogranum salarium B-1	3	
A	F	Archaeoglobus sulfaticallidus PM70-1, DSM 19444 (Asulf_version1)	1	
A	P	Thermococcus sp. EP1	1	
A	F	Thermofilum carboxyditrophus 1505	1	
A	D	Aeropyrum sp. GMQ bin_9	2	
A	P	Halococcus agarilyticus 197A	1	
A	P	Methanobrevibacter smithii TS94B	1	
A	P	Haloferax sulfurifontis M6	2	
A	F	Halalkalicoccus jeotgali B3, DSM 18796	3	
A	P	Natronococcus jeotgali DSM 18795	4	
A	P	Halobellus salinus DSM 18730	2	
A	P	Crenarchaeota archaeon SCGC AAA261-C22 (unscreened)	3	
A	P	Picrophilus oshimae DSM 9789	1	
A	P	Methanobrevibacter smithii TS96B	1	
A	P	Halorubrum aidingense JCM 13560	3	
A	P	Haloterrigena salina JCM 13891	3	
A	F	Methanothermobacter marburgensis Marburg DSM 2133	1	
A	F	Pyrobaculum arsenaticum PZ6, DSM 13514	2	
A	P	Halopiger djelfamassiliensis IIH2	3	
A	F	Pyrobaculum ferrireducens 1860	1	
A	P	Halorubrum saccharovorum H3	3	
A	D	Geoarchaeota NAG1 GT1 r03 (OSP_C)	3	
A	P	Halobellus clavatus CGMCC 1.10118	2	
A	P	candidate divison MSBL1 archaeon SCGC-AAA261C02	1	
A	F	Thermoproteus tenax Kra1	2	
A	F	Thermococcus gammatolerans EJ3	1	
A	F	Natronomonas pharaonis Gabara, DSM 2160	3	
A	P	Thermococcus thioreducens OGL-20	1	
A	D	Geoarchaeota-NAG1-GT2-r03 (from BED)	1	
A	P	Methanobacterium arcticum M2, DSM 19844	1	
A	F	Thermococcus guaymasensis DSM 11113	1	
A	P	Haloplanus natans DSM 17983	3	
A	P	Aigarchaeota archaeon SCGC AAA471-F17 (contamination screened) (GBS-N_001_13)	2	
A	P	Natrialba chahannaoensis JCM 10990	2	
A	P	Haloarcula californiae BJGN-2, ATCC 33799	4	
A	F	Halobacteriaceae archaeon HSR2	2	
A	P	Halohasta litchfieldiae DSM 22187	2	
A	P	Haloarcula salaria H5-DGR	1	
A	P	Natronobacterium gregoryi DSM 3393	4	
A	P	Halorubrum coriense ACM 3911, Ch2	3	
A	F	Palaeococcus pacificus DY20341	1	
A	P	Natronobacterium texcoconense DSM 24767	3	
A	F	Pyrobaculum oguniense TE7, DSM 13380	1	
A	P	Halostagnicola sp. A56	2	
A	P	Natrinema altunense 1A4-DGR	3	
A	P	Methanobrevibacter smithii TS146B	1	
A	P	Acidiplasma sp. MBA-1	1	
A	F	Haloquadratum walsbyi C23, DSM 16854	3	
A	F	Methanosarcina mazei LYC	1	
A	P	Halococcus hamelinensis 100A6	1	
A	P	Methanobrevibacter arboriphilus JCM 9315	1	
A	D	Unclassfied Crenarchaeota GMQ bin_5	1	
A	P	Palaeococcus ferrophilus DMJ, DSM 13482	1	
A	P	Thermococcus sp. PK	1	
A	P	Methanocaldococcus villosus KIN24-T80	1	
A	P	Haloterrigena daqingensis CGMCC 1.8909	2	
A	P	Halomicrobium katesii DSM 19301	2	
A	D	Unclassfied Crenarchaeota  DRTY7 bin_25_26	2	
A	F	Desulfurococcus fermentans Z-1312, DSM 16532	1	
A	P	Haladaptatus cibarius D43	3	
A	P	Natrinema pallidum DSM 3751	3	
A	P	Haloferax prahovense TL6	2	
A	P	Natrinema sp. J7-1	3	
A	P	Methanobrevibacter smithii TS145A	1	
A	P	Aigarchaeota archaeon SCGC AAA471-J07 (contamination screened) (GBS-N_001_18)	2	
A	F	Thaumarchaeota archaeon MY3 null replaces 73019	1	
A	P	Natrialba taiwanensis DSM 12281	3	
A	P	Methanotorris formicicus Mc-S-70	1	
A	F	Methanococcus maripaludis S2	1	
A	P	Haloarcula amylolytica JCM 13557	4	
A	P	Methanobrevibacter arboriphilus ANOR1	1	
A	P	Acidiplasma aeolicum V	1	
A	D	Euryarchaeota archaeon JGI CrystG Aug3-1-C22 (unscreened)	1	
A	P	Methanoplanus limicola M3, DSM 2279	1	
A	P	Haloferax larsenii JCM 13917	2	
A	F	Halomicrobium mukohataei arg-2, DSM 12286	2	
A	F	Pyrolobus fumarii 1A, DSM 11204	2	
A	P	Sulfolobales sp. HSU1	1	
A	F	Methanothermobacter thermautotrophicus Delta H	1	
A	D	Candidatus Bathyarchaeota archaeon BA1	2	
A	F	Pyrococcus chitonophagus DSM 10152	1	
A	P	Halalkalicoccus paucihalophilus DSM 24557	2	
A	F	Methanococcus aeolicus Nankai-3	1	
A	F	Pyrobaculum neutrophilum V24Sta	3	
A	P	Aeropyrum camini SY1, JCM 12091	1	
A	P	candidate divison MSBL1 archaeon SCGC-AAA382F02	1	
A	P	Haloferax mediterranei R-4	3	
A	D	Euryarchaeota archaeon JGI 0000012-E06 (unscreened)	3	
A	F	Haloquadratum walsbyi HBSQ001, DSM 16790	4	
A	P	Aigarchaeota archaeon SCGC AAA471-B22 (contamination screened) (Combined_Assembly_pSL4_1__pSL4)	1	
A	P	Halorubrum aquaticum CGMCC 1.6377	2	
A	P	Halorubrum distributum VKM B-1733, 1-M	3	
A	P	Methanobacterium formicicum DSM 3637	1	
A	P	haloarchaeon 3A1_DGR	2	
A	D	Methanomassiliicoccales archaeon RumEn M1	2	
A	F	Methanococcus voltae A3	1	
A	P	Thermococcus celericrescens DSM 17994	1	
A	P	Acidiplasma cupricumulans BH2	1	
A	F	Methanothermobacter thermautotrophicus CaT2	1	
A	F	Methanobrevibacter ruminantium M1	1	
A	D	Pyrobaculum yellowstonensis str-WP30	2	
A	P	Halorubrum xinjiangense CGMCC 1.3527	3	
A	F	Methanosaeta concilii GP-6	1	
A	P	Halorubrum saccharovorum M6	1	
A	P	Thermoplasmata archaeon	1	
A	D	Pyrobaculum yellowstonensis WP30 (MSU 454 Co-Assembly)	2	
A	F	Thermococcus cleftensis CL1	1	
A	P	Halarchaeum acidiphilum JCM 16109	2	
A	P	Methanobrevibacter smithii TS145B	1	
A	P	Methanobrevibacter smithii TS146A	1	
A	F	Pyrobaculum aerophilum IM2	1	
A	P	Halorubrum halophilum B8	3	
A	P	Halococcus sediminicola CBA1101	1	
A	D	Methanobrevibacter arboriphilicus DH1 (MAR)	1	
A	P	Halogranum amylolyticum CGMCC 1.10121	4	
A	P	Haloferax massiliensis Arc-Hr	2	
A	P	candidate divison MSBL1 archaeon SCGC-AAA261O19	1	
A	P	Aigarchaeota archaeon SCGC AAA471-A16 (contamination screened) (Combined_Assembly_pSL4_4__pSL4)	2	
A	P	Methanobrevibacter cuticularis DSM11139	1	
A	F	Haloarcula hispanica CGMCC 1.2049	3	
A	P	Halorubrum tebenquichense ALT-6, ALT6-92	5	
A	P	Halobiforma lacisalsi AJ5, JCM 12983	3	
A	D	Desulfurococcus sp. DRTY7 bin_22	1	
A	D	Archaeoglobus sp. JZ bin_24	1	
A	F	Fervidicoccus fontis Kam940	2	
A	F	Methanobrevibacter olleyae YLM1	1	
A	P	Methanobrevibacter smithii TS146E	1	
A	P	Methanobrevibacter smithii TS94C	1	
A	P	Methanobrevibacter smithii TS95A	1	
A	P	Haloarcula vallismortis J.F. 54	4	
A	P	Methanobrevibacter smithii DSM 2375	1	
A	F	uncultured marine group II euryarchaeote null replaces 9421	1	
A	P	Haladaptatus paucihalophilus DX253	2	
A	P	Haloterrigena turkmenica WANU15	1	
A	P	Candidatus Methanoplasma termitum strain MpT1	1	
A	P	Thermoplasmata archaea JGI 04_M4 (contamination screened)	1	
A	D	Unclassfied Crenarchaeota JZ bin_37	3	
A	P	Haloarcula sp. CBA1128	4	
A	P	Haloferax sp. SB29	2	
A	P	Halorientalis persicus IBRC-M 10043	2	
A	P	uncultured archaeon sp. J07HX64	2	
A	P	Halorubrum kocurii JCM 14978	3	
A	P	Thermococcus thioreducens DSM 14981	1	
A	D	Unclassified archaeon JZ bin_50	1	
A	P	Halostagnicola kamekurae DSM 22427	2	
A	P	Haloplanus vescus CGMCC 1.8712	2	
A	F	Halodesulfurarchaeum formicicum HTSR1	2	
A	F	Natrinema sp. J7-2	3	
A	P	Acidiplasma aeolicum VT	1	
A	F	Methanocaldococcus vulcanius M7, DSM 12094	1	
A	P	Haloterrigena limicola JCM 13563	3	
A	P	Halogeometricum rufum CGMCC 1.7736	3	
A	F	Salinarchaeum sp. Harcht-Bsk1	2	
A	P	uncultured archaeon A07HR60	3	
A	P	Haloarcula sinaiiensis BJSG-2	3	
A	P	Halorubrum sodomense RD 26	2	
A	P	Halonotius sp. J07HN6 (version 2)	1	
A	P	Haloarcula californiae BJGN-2, ATCC 33799	4	
A	F	Halovivax ruber XH-70, DSM 18193	1	
A	F	Halanaeroarchaeum sulfurireducens M27-SA2 null replaces 100900	2	
A	P	Haloferax mediterranei R-4	3	
A	P	Geoarchaeota archaeon OSPB-1 (8 best scaffolds)	3	
A	P	Halorubrum lipolyticum DSM 21995	2	
A	P	Methanobrevibacter olleyae DSM 16632	1	
A	P	Methanobrevibacter smithii TS147B	1	
A	D	Thermofilum sp. GMQ bin_8	1	
A	P	Haloferax lucentense DSM 14919	3	
A	F	Halopiger xanaduensis SH-6	2	
A	P	Methanobacterium sp. SMA-27	1	
A	P	Natronorubrum bangense JCM 10635	4	
A	P	Thermoproteaceae Type II	1	
A	P	unclassified Euryarchaeota Bin 17	1	
A	P	Halolamina rubra CBA1107	2	
A	P	Desulfurococcus mobilis DSM 2161	1	
A	P	Halorubrum litoreum JCM 13561	2	
A	P	Methanobacterium veterum MK4, DSM 19849	1	
A	F	Methanobacterium sp. MB1	1	
A	P	Halopelagius inordinatus CGMCC 1.7739	2	
A	F	Thermoproteus uzoniensis 768-20	2	
A	P	Candidatus Halobaculum G22	2	
A	F	Thaumarchaeota archaeon MY3	1	
A	P	Aigarchaeota archaeon SCGC AAA471-B22 (contamination screened) (GBS-N_002_4)	2	
A	P	Halarchaeum acidiphilum MH1-52-1	1	
A	D	Aeropyrum sp. JZ bin_13	2	
A	P	Haloterrigena thermotolerans DSM 11522	3	
A	F	Methanopyrus kandleri AV19	1	
A	F	Methanothermus fervidus V24S, DSM 2088	1	
A	D	Euryarchaeota archaeon JGI 0000059-C15 (unscreened)	1	
A	F	Natrialba magadii ATCC 43099	2	
A	F	Halogeometricum borinquense PR3, DSM 11551	3	
A	P	Halogeometricum borinquense PR3, DSM 11551	3	
A	F	Thermococcus barophilus CH5	1	
A	P	Aigarchaeota archaeon SCGC AAA471-D15 (contamination screened) (GBS-N_001_9)	2	
A	P	Methermicoccus shengliensis DSM 18856	1	
A	F	Pyrococcus abyssi GE5	1	
A	F	Methanocaldococcus infernus ME	1	
A	P	Methanobrevibacter oralis JMR01	1	
A	F	Thermofilum adornatus 1910b	1	
A	P	Halococcus morrhuae DSM 1307	2	
A	P	Halorubrum ezzemoulense DSM 17463	2	
A	P	Halorubrum trapanicum CBA1232	2	
A	F	Haloterrigena turkmenica VKM B-1734, DSM 5511	3	
A	P	Halobellus limi CGMCC 1.10331	1	
A	P	Halorubrum californiense SF3-213	3	
A	P	Crenarchaeota archaeon SCGC AAA261-G18 (unscreened)	3	
A	P	Haloferax sulfurifontis M6	2	
A	P	Halopelagius longus CGMCC 1.12397	2	
A	F	Methanococcus maripaludis X1	1	
A	P	Halolamina sediminis halo7	1	
A	F	Pyrobaculum calidifontis JCM 11548	2	
A	P	Haloquadratum walsbyi J07HQW1 (version 2)	4	
A	F	Methanobrevibacter smithii PS, ATCC 35061	1	
A	P	Euryarchaeota archaeon JGI CrystG Aug3-3-I21 (contamination screened)	1	
A	D	Unclassfied Crenarchaeota JZ bin_55	1	
A	F	Methanobrevibacter millerae SM9	1	
A	P	Euryarchaeota archaeon SCGC AB-629-J07 (contamination screened)	1	
A	P	Haloferax sp. GUBF-3	2	
A	P	Natronobacterium gregoryi SP2	4	
A	D	Halohasta litchfieldiae tADL	2	
A	P	Haloarcula vallismortis J.F. 54	4	
A	P	Halobiforma haloterrestris DSM 13078	3	
A	F	Thermoplasma volcanium GSS1	2	
A	F	Methanolobus psychrophilus R15	1	
A	P	Natrialba magadii ATCC 43099	2	
A	P	Haloferax sp. Q22	3	
A	P	Halophilic archaeon J07HB67 (version 2)	1	
A	P	Halobellus rufus CBA1103	1	
A	P	Halopiger aswanensis DSM 13151	3	
A	P	Aigarchaeota archaeon SCGC AAA471-D15 (contamination screened) (Combined_Assembly_pSL4_2__pSL4)	2	
A	F	Halorhabdus tiamatea SARL4B	1	
A	D	Thermoproteales-Type-2-TT2-r01 (from JCHS_4)	1	
A	F	Methanococcus maripaludis C6	1	
A	P	Halopiger salifodinae KCY07-B2	3	
A	F	Thermococcus onnurineus NA1	1	
A	F	Methanobacterium formicicum BRM9	1	
A	P	Halalkalicoccus jeotgali B3, DSM 18796	3	
A	P	Halovenus aranensis IBRC-M10015	1	
A	P	Methanobrevibacter smithii TS95C	1	
A	P	Natronorubrum tibetense DSM 13204	3	
A	P	Thermoproteales Type II	1	
A	P	Thermoplasmata archaea JGI 04_M4 (unscreened)	1	
A	P	Haloarcula sinaiiensis BJSG-2	3	
A	P	Methanobrevibacter oralis DSM7256	1	
A	F	Haloarcula hispanica N601	3	
A	P	Haladaptatus litoreus CGMCC 1.7737	2	
A	P	Halorubrum cibi DSM 19504	5	
A	P	Halopiger goleamassiliensis IIH3	3	
A	P	Natrialba aegyptia DSM 13077	2	
A	P	Halogranum gelatinilyticum CGMCC 1.10119	2	
A	F	Methanococcus maripaludis C7	1	
A	P	Haloarcula japonica DSM 6131	3	
A	D	Unclassfied Crenarchaeota GMQ bin_14	1	
A	P	Methanocaldococcus villosus KIN24-T80	1	
A	F	Candidatus Methanoplasma termitum Mpt1	1	
A	P	Methanobrevibacter smithii TS147A	1	
A	P	Halophilic archaeon A07HB70	1	
A	P	Halosimplex carlsbadense 2-9-1	2	
A	P	Methanobrevibacter smithii	1	
A	P	Natrialba hulunbeirensis JCM 10989	2	
A	P	Haloferax denitrificans S1	2	
A	F	Methanobacterium paludis SWAN-1	1	
A	F	Thermoplasma acidophilum DSM 1728	1	
A	F	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	2	
A	P	Natrinema altunense JCM 12890	3	
A	P	Methanobrevibacter millerae DSM 16643	1	
A	F	Candidatus Nitrososphaera evergladensis SR1	1	
A	F	Thermoplasmatales archaeon BRNA1	1	
A	P	Methanobrevibacter smithii TS146C	2	
A	P	Natronorubrum thiooxidans HArc-T	4	
A	P	Methanobrevibacter smithii TS147C	1	
A	F	Desulfurococcus mucosus 07/1, DSM 2162	1	
A	P	Methanobrevibacter wolinii SH	1	
A	F	Methanosphaera stadtmanae DSM 3091	1	
A	P	Haloferax larsenii CDM_5	2	
A	F	Methanobacterium lacus AL-21	1	
A	P	Haloferax mucosum PA12	2	
A	P	Natrialba asiatica DSM 12278	2	
A	P	Natronorubrum tibetense GA33	3	
A	F	Halobacterium hubeiense JI20-1	2	
A	P	Haloferax sp. BAB2207	2	
A	F	Hyperthermus butylicus DSM 5456	2	
A	F	Methanotorris igneus Kol5, DSM 5666	1	
A	P	Halopenitus malekzadehii IBRC-M10418	1	
A	P	Haladaptatus paucihalophilus DSM 18195	2	
A	P	Haloferax denitrificans S1	2	
A	D	Methanomassiliicoccales archaeon RumEn M2	1	
A	P	Halolamina pelagica cdk2	2	
A	F	Natronobacterium gregoryi SP2	4	
A	F	Picrophilus torridus DSM 9790	1	
A	D	Thermoproteales-Type-2-TT2-r02 (from CIS_19)	1	
A	P	Aigarchaeota archaeon SCGC AAA471-G05 (contamination screened) (GBS-N_001_14)	2	
A	P	Crenarchaeota archaeon SCGC AAA261-F05 (unscreened)	2	
A	F	Thermococcus sp. 2319x1	1	
A	F	Methanocaldococcus jannaschii DSM 2661	1	
A	D	Unclassified Bathyarchaeota JZ bin_7	2	
A	P	halophilic archaeon J07HX5	1	
A	P	Methanobrevibacter smithii TS96A	1	
A	P	Methanobrevibacter smithii TS96C	1	
A	F	Haloarcula sp. CBA1115	4	
A	F	Nitrososphaera viennensis EN76	1	
A	P	Halolamina pelagica CGMCC 1.10329	2	
A	F	Pyrococcus yayanosii CH1	1	
A	F	Ignicoccus hospitalis KIN4/I, DSM 18386	1	
A	P	Haloplanus aerogenes CGMCC 1.10124	3	
A	F	Natrinema pellirubrum 157	3	
A	P	Halorubrum sp. AJ67	4	
A	F	Halostagnicola larsenii XH-48, DSM 17691	2	
A	F	Methanobacterium formicicum DSM 1535	1	
A	F	Halobacterium salinarum R1, DSM 671	2	
A	P	Halorubrum sp. BV1	2	
A	P	Natronolimnobius innermongolicus JCM 12255	3	
A	P	Haladaptatus paucihalophilus DX253	2	
A	P	Haloferax mucosum PA12	2	
A	P	Halorubrum sp. T3	2	
A	F	Thermococcus nautili 30-1 (unscreened)	1	
A	P	Methanobrevibacter smithii TS94A	1	
A	P	Haloarcula sp. SL3	3	
A	P	Halorubrum sp. SAH-A6	2	
A	P	Uncultured archaeon A07HR67	4	
A	D	Pyrobaculum T1 r03 (Pyrobaculum T1 r03 (Bechler))	2	
A	P	Halobacterium jilantaiense CGMCC 1.5337	2	
A	P	Halorubrum terrestre JCM 10247	3	
A	P	Halopiger salifodinae CGMCC 1.12284	3	
A	P	candidate divison MSBL1 archaeon SCGC-AAA833F18	1	
A	D	Aigarchaeota T1 r01 (Aigarchaeota T1 r01 (Octopus-11))	2	
A	D	Unclassified Aigarchaeota JZ bin_28	2	
A	F	Thermofilum pendens Hrk 5	1	
A	P	Haloferax alexandrinus Arc-Hr	2	
A	P	Halorubrum distributum VKM B-1733, 1-M	3	
A	P	Haloferax volcanii DS2	2	
A	P	Halorubrum sp. SD626R	3	
A	F	Pyrococcus kukulkanii NCB100	1	
A	F	Haloarcula marismortui ATCC 43049	3	
A	P	Methanobrevibacter boviskoreani JH1	1	
A	P	Haloarcula vallismortis DSM 3756	4	
A	P	Natrinema gari JCM 14663	3	
A	F	Halobacterium sp. DL1	1	
A	F	Staphylothermus marinus F1, DSM 3639	1	
A	F	Halanaeroarchaeum sulfurireducens M27-SA2	2	
A	P	Natrinema altunense AJ2	3	
A	P	Natrinema versiforme JCM 10478	3	
A	P	Halobacteriaceae archaeon SB9	3	
A	P	Alpena fountain Bin 3	1	
A	F	Methanothermococcus okinawensis IH1	1	
A	P	Natrinema salaciae DSM 25055	3	
A	F	Halorhabdus tiamatea SARL4B null replaces 81722	1	
A	F	Thermococcus eurythermalis A501	1	
A	F	Archaeoglobus profundus Av18, DSM 5631	1	
A	F	Methanogenic archaeon ISO4-H5	1	
B	P	Mycobacterium abscessus PAP020	3	
B	P	Hydrogenivirga sp. 128-5-R1-1	2	
B	P	Lactococcus lactis lactis JCM 5805, NBRC 100933	1	
B	P	Escherichia coli KTE235	1	
B	P	Salmonella enterica enterica sv. Agona 460004 1-1	1	
B	P	Dehalococcoidia bacterium SCGC AG-205-C16 (contamination screened)	1	
B	P	Mycobacterium tuberculosis Q09901139	3	
B	P	Nocardia jiangxiensis NBRC 101359	3	
B	P	Clostridium caminithermale DSM 15212	2	
B	P	Paenibacillus sophorae S27	1	
B	P	Salmonella enterica enterica sv. Montevideo CT_02035278	1	
B	P	Mycobacterium tuberculosis NCGM2209	3	
B	D	Rhodococcus sp. 1163	3	
B	P	Streptomyces sp. MnatMP-M27	3	
B	P	Mycobacterium tuberculosis 1700938	3	
B	P	Escherichia coli TA280	1	
B	F	Mycobacterium immunogenum FLAC016	3	
B	P	Mycobacterium tuberculosis TKK_05SA_0023	3	
B	P	Mycobacterium tuberculosis M1317	3	
B	P	Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_44_12	2	
B	P	Magnetospirillum sp. WD	1	
B	P	Peptococcaceae bacterium CEB3	2	
B	P	Mycobacterium tuberculosis KT-0108	3	
B	P	Lactococcus lactis lactis Dephy 1	1	
B	P	Syntrophomonas zehnderi OL-4	1	
B	P	Solirubrobacter sp. URHD0082	3	
B	P	Psychrobacter sp. PAMC 21119	1	
B	F	Mycobacterium abscessus ATCC 19977	3	
B	P	Mycobacterium abscessus PAP150	3	
B	P	Salmonella enterica enterica sv. Agona 447967 2-1	1	
B	P	Streptomyces sp. DvalAA-83	3	
B	P	Mycobacterium tuberculosis VRFCWCF MDRTB 17	3	
B	P	Nocardioides sp. Root79	3	
B	P	Rhodococcus wratislaviensis NBRC 100605	3	
B	P	Klebsiella pneumoniae UCI 22	2	
B	P	Richelia intracellularis HM01	2	
B	P	Mycobacterium tuberculosis M1422	3	
B	P	Streptomyces sp. di188	2	
B	F	Salmonella enterica enterica sv. Newport CFSAN003890	1	
B	P	Hippea medeae KM1	1	
B	P	Mycobacterium bovis B-3222	3	
B	P	Mycobacterium tuberculosis NRITLD20	3	
B	P	Mycobacterium tuberculosis 2091HD	3	
B	P	Mycobacterium tuberculosis TB_RSA46	3	
B	D	Chloroflexi bacterium GWB2_49_20	3	
B	P	Streptomyces sp. MUSC 125	3	
B	P	Citrobacter freundii RU2 BHI15	1	
B	F	Fusobacterium nucleatum vincentii 3_1_27	2	
B	P	Mycobacterium tuberculosis Erdman	3	
B	P	Mycobacterium tuberculosis TKK_03_0042	3	
B	F	Nocardia farcinica IFM 10152	3	
B	P	Microcystis aeruginosa PCC 9701	3	
B	D	Desulfitobacterium sp. LBE	1	
B	P	Mycobacterium tuberculosis 210	3	
B	P	Mycobacterium tuberculosis A70011_6	3	
B	P	Dethiosulfovibrio peptidovorans SEBR 4207, DSM 11002	1	
B	P	Mycobacterium tuberculosis M1029	3	
B	D	Pelobacter carbinolicus Bd1, GraBd1 (Pelobacter 423 contigs)	1	
B	P	Hippea jasoniae Mar08-272r	1	
B	P	Pseudorhodoferax sp. Leaf265	1	
