taxon_oid	Domain	Status	Study Name	Genome	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled	
2504136013	Archaea	Permanent Draft	Acidilobus sulfurireducens sp. nov.	Acidilobus sulfurireducens sp. nov.	SymBio Corporation	2504136013	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus sulfurireducens	1648899	1925	
2588253738	Archaea	Finished	Palaeococcus pacificus DY20341	Palaeococcus pacificus DY20341	Third Institute of Oceanography, State Oceanic Administration	2588253738	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus pacificus	1859370	2046	
650716055	Archaea	Finished	CSP_787660, Methanoarchaea	Methanothermococcus okinawensis IH1	DOE Joint Genome Institute (JGI)	650716055	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis	1677455	1672	
646311906	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Archaeoglobus profundus Av18, DSM 5631	DOE Joint Genome Institute (JGI)	646311906	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus	1563423	1911	
640069314	Archaea	Finished	Hyperthermus butylicus DSM 5456	Hyperthermus butylicus DSM 5456	Epidauros Biotechnologie AG	640069314	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus	1667163	1669	
638154512	Archaea	Finished	Picrophilus torridus DSM 9790	Picrophilus torridus DSM 9790	Technical University of Hamburg, University of Gottingen, ANRT	638154512	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	1545895	1605	
650377981	Archaea	Finished	Sulfolobus islandicus HVE10/4	Sulfolobus islandicus HVE10/4	University of Copenhagen	650377981	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2655201	2826	
643692044	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.S.2.15	DOE Joint Genome Institute (JGI)	643692044	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2736272	3068	
638154502	Archaea	Finished	Archaeoglobus fulgidus VC-16, DSM 4304	Archaeoglobus fulgidus VC-16, DSM 4304	J. Craig Venter Institute (JCVI)	638154502	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	2178400	2519	
2264867017	Archaea	Permanent Draft	Subsurface geothermal stream microbial mat communities from Hishikari gold mine, Kagoshima Prefecture, Japan	Candidatus Caldiarchaeum subterraneum (unscreened) (MDM ref genome pSL4 group)	Takara Bio Inc	2264867017	Thaumarchaeota	unclassified	unclassified	unclassified	Candidatus Caldiarchaeum	Candidatus Caldiarchaeum subterraneum	1680938	1878	
2554235461	Archaea	Finished	Genome Sequence of Aeropyrum camini	Aeropyrum camini SY1, JCM 12091	Kyoto University	2554235461	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini	1595994	1695	
2512047039	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum oguniense TE7, DSM 13380	University of California, Santa Cruz	2512047039	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense	2452920	3014	
643692045	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.14.25	DOE Joint Genome Institute (JGI)	643692045	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2608832	2900	
646862347	Archaea	Finished	Obsidian Hot Spring Microbial Community Genomics	Sulfolobus solfataricus 98/2	DOE Joint Genome Institute (JGI)	646862347	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	2668974	2728	
648028003	Archaea	Finished	Acidilobus saccharovorans 345-15	Acidilobus saccharovorans 345-15	Russian Academy of Science, Centre Bioengineering	648028003	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans	1496453	1547	
2519103186	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Methanothermococcus thermolithotrophicus DSM 2095	DOE Joint Genome Institute (JGI)	2519103186	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus thermolithotrophicus	1686930	1750	
640069332	Archaea	Finished	Diverse archaeal organisms	Staphylothermus marinus F1, DSM 3639	DOE Joint Genome Institute (JGI)	640069332	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus	1570485	1659	
2502957026	Archaea	Permanent Draft	BED_Sanger_Thaum	Thaumarchaeota archaeon BS1	J. Craig Venter Institute (JCVI)	2502957026	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1532059	1134	
646564548	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus sp. FS406-22	DOE Joint Genome Institute (JGI)	646564548	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus sp. FS406-22	1773136	1893	
649633067	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanothermus fervidus V24S, DSM 2088	DOE Joint Genome Institute (JGI)	649633067	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus	1243342	1352	
638154519	Archaea	Finished	Sulfolobus tokodaii 7, JCM 10545	Sulfolobus tokodaii 7, JCM 10545	National Institute of Technology and Evaluation	638154519	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii	2694756	2982	
2554235511	Archaea	Permanent Draft	Methanocaldococcus villosus KIN24-T80 Genome sequencing	Methanocaldococcus villosus KIN24-T80	King Abdullah University of Science and Technology	2554235511	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus villosus	1207361	1326	
2522125074	Archaea	Finished	Archaeoglobus sulfaticallidus PM70-1, DSM 19444	Archaeoglobus sulfaticallidus PM70-1, DSM 19444 (Asulf_version1)	University of Bergen	2522125074	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sulfaticallidus	2076931	2300	
2517093008	Archaea	Permanent Draft	Whole genome sequencing of the primary pancreatic cancer cell line JoPaca-1 and BxPC-3	Methanocaldococcus villosus KIN24-T80	DOE Joint Genome Institute (JGI)	2517093008	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus villosus	1249385	1418	
650716096	Archaea	Finished	Thermococcus barophilus MP, DSM 11836	Thermococcus barophilus MP, DSM 11836	J. Craig Venter Institute (JCVI)	650716096	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus	2064237	2315	
2514885039	Archaea	Permanent Draft	Sulfolobales HSU1	Sulfolobales sp. HSU1	Axeq Technologies	2514885039	Crenarchaeota	Thermoprotei	Sulfolobales	unclassified	unclassified	unclassified	2778274	10807	
650377982	Archaea	Finished	Sulfolobus islandicus REY15A	Sulfolobus islandicus REY15A	Chinese Academy of Sciences	650377982	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2522992	2753	
644736412	Archaea	Finished	Thermococcus sibiricus MM 739	Thermococcus sibiricus MM 739	Russian Academy of Science, Centre Bioengineering	644736412	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sibiricus	1845800	2085	
644736385	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus fervens AG86	DOE Joint Genome Institute (JGI)	644736385	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus fervens	1507251	1663	
2505313064	Archaea	Permanent Draft	Thermofilum sp.	Thermofilum sp.	University of Maryland	2505313064	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	unclassified	3521254	2297	
643692049	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.N.15.51	DOE Joint Genome Institute (JGI)	643692049	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2854410	3318	
2548876771	Archaea	Permanent Draft	Study the patterns of natural variation and gene flow, as well as virus-host coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.13	University of Illinois	2548876771	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2635815	3035	
650716056	Archaea	Finished	CSP_787660, Methanoarchaea	Methanotorris igneus Kol5, DSM 5666	DOE Joint Genome Institute (JGI)	650716056	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris igneus	1854197	1843	
646564534	Archaea	Finished	Comparative genomics of the Archaea	Ferroglobus placidus AEDII12DO, DSM 10642	DOE Joint Genome Institute (JGI)	646564534	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus	2196266	2622	
2506520039	Archaea	Permanent Draft	CSP_787660, Methanoarchaea	Methanotorris formicicus Mc-S-70	DOE Joint Genome Institute (JGI)	2506520039	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris formicicus	1945078	2121	
646564573	Archaea	Finished	Comparative genomics of the Archaea	Staphylothermus hellenicus P8, DSM 12710	DOE Joint Genome Institute (JGI)	646564573	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus	1580347	1716	
638154515	Archaea	Finished	Pyrococcus furiosus DSM 3638	Pyrococcus furiosus DSM 3638	University of Utah, University of Maryland	638154515	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus	1908256	2179	
649633040	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Desulfurococcus mucosus 07/1, DSM 2162	DOE Joint Genome Institute (JGI)	649633040	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus	1314639	1421	
648028039	Archaea	Finished	Comparative genomics of the Archaea	Methanohalobium evestigatum Z-7303, DSM 3721	DOE Joint Genome Institute (JGI)	648028039	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	Methanohalobium evestigatum	2406232	2437	
2579779151	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Picrophilus oshimae DSM 9789	DOE Joint Genome Institute (JGI)	2579779151	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus oshimae	1534155	1623	
2511231053	Archaea	Finished	Thermococcus sp. AM4	Thermococcus sp. AM4	J. Craig Venter Institute (JCVI)	2511231053	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. AM4	2086428	2279	
2588253768	Archaea	Finished	Archaeoglobus fulgidus DSM 8774 Genome sequencing	Archaeoglobus fulgidus DSM 8774	University Bergen, Leibniz Institute	2588253768	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	2316287	2614	
646311944	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus vulcanius M7, DSM 12094	DOE Joint Genome Institute (JGI)	646311944	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus vulcanius	1761737	1808	
643692048	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.G.57.14	DOE Joint Genome Institute (JGI)	643692048	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2702058	3079	
639633038	Archaea	Finished	Methanosaeta thermophila	Methanosaeta thermophila PT	DOE Joint Genome Institute (JGI)	639633038	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Methanosaeta thermophila	1879471	1785	
2504643023	Archaea	Permanent Draft	Subsurface geothermal stream microbial mat communities from Hishikari gold mine, Kagoshima Prefecture, Japan	Candidatus Caldiarchaeum subterraneum (unscreened)	Takara Bio Inc	2504643023	Thaumarchaeota	unclassified	unclassified	unclassified	Candidatus Caldiarchaeum	Candidatus Caldiarchaeum subterraneum	1680938	1790	
2522572194	Archaea	Permanent Draft	Obsidian Pool Nanoarchaeota	Candidatus Nanobsidianus stetteri (unscreened) (Final anotation based on arCOG)	HudsonAlpha Institute for Biotechnology	2522572194	Nanoarchaeota	unclassified	Nanoarchaeales	Nanopusillaceae	Candidatus Nanopusillus	Candidatus Nanopusillus sp. Nst1	593790	702	
641522657	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum neutrophilum V24Sta	DOE Joint Genome Institute (JGI)	641522657	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum neutrophilum	1769823	2053	
2513237398	Archaea	Finished	Thermococcus litoralis DSM 5473	Thermococcus litoralis DSM 5473	New England Biolabs	2513237398	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus litoralis	2309423	2555	
648028041	Archaea	Finished	Methanothermobacter marburgensis Marburg DSM 2133	Methanothermobacter marburgensis Marburg DSM 2133	University of Gottingen	648028041	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter marburgensis	1639135	1806	
2548876770	Archaea	Permanent Draft	Study the patterns of natural variation and gene flow, as well as virus-host coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.12	University of Illinois	2548876770	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2680814	3135	
646311959	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.D.8.5	DOE Joint Genome Institute (JGI)	646311959	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2748647	2996	
2681812991	Archaea	Permanent Draft	Thermocladium modestius JCM 10088	Thermocladium modestius JCM 10088	University of Tokyo	2681812991	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermocladium	Thermocladium modestius	1905158	4071	
2548876773	Archaea	Permanent Draft	Study the patterns of natural variation and gene flow, as well as virus-host coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.30	University of Illinois	2548876773	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2608312	2991	
638154510	Archaea	Finished	Methanothermobacter thermautotrophicus Delta H	Methanothermobacter thermautotrophicus Delta H	Genome Therapeutics	638154510	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus	1751377	1893	
2511231093	Archaea	Finished	Thermoproteus tenax Kra1	Thermoproteus tenax Kra1	Epidauros Biotechnologie AG	2511231093	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus tenax	1841542	2100	
646564547	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus infernus ME	DOE Joint Genome Institute (JGI)	646564547	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus infernus	1328194	1513	
640753029	Archaea	Finished	Ignicoccus hospitalis KIN4/I	Ignicoccus hospitalis KIN4/I, DSM 18386	DOE Joint Genome Institute (JGI)	640753029	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis	1297538	1496	
2516143104	Archaea	Permanent Draft	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus amylolyticus DSM 3822	DOE Joint Genome Institute (JGI)	2516143104	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	1307099	1453	
638154520	Archaea	Finished	Thermococcus kodakarensis KOD1	Thermococcus kodakarensis KOD1	Kyoto University, ANRT	638154520	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis	2088737	2428	
2556793003	Archaea	Finished	Sulfolobus acidocaldarius SUSAZ	Sulfolobus acidocaldarius SUSAZ	Macrogen	2556793003	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2061920	2228	
650716051	Archaea	Finished	Metallosphaera cuprina Ar-4	Metallosphaera cuprina Ar-4	Chinese Academy of Sciences	650716051	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera cuprina	1840348	2077	
2510065009	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Caldisphaera lagunensis DSM 15908	DOE Joint Genome Institute (JGI)	2510065009	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis	1546846	1591	
640427135	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum arsenaticum PZ6, DSM 13514	DOE Joint Genome Institute (JGI)	640427135	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum	2121076	2410	
650716098	Archaea	Finished	Thermoproteus uzoniensis 768-20	Thermoproteus uzoniensis 768-20	Russian Academy of Science, Centre Bioengineering	650716098	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis	1936063	2224	
646564583	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Thermosphaera aggregans M11TL, DSM 11486	DOE Joint Genome Institute (JGI)	646564583	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	Thermosphaera aggregans	1316595	1457	
643348540	Archaea	Finished	Desulfurococcus kamchatkensis 1221n	Desulfurococcus kamchatkensis 1221n	Russian Academy of Science, Centre Bioengineering	643348540	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus kamchatkensis	1365223	1521	
2518645553	Archaea	Finished	Thermococcus cleftensis CL1	Thermococcus cleftensis CL1	Kyunghee University	2518645553	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus cleftensis	1950313	2090	
641522631	Archaea	Finished	Halobacterium salinarum R1, DSM 671	Halobacterium salinarum R1, DSM 671	Max Planck Institute	641522631	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum	2668776	2801	
2505679052	Archaea	Permanent Draft	Ignisphaera sp.	Ignisphaera sp.	University of Maryland	2505679052	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	unclassified	3855392	2074	
643348580	Archaea	Finished	Thermococcus onnurineus NA1	Thermococcus onnurineus NA1	Korea Institute of Ocean Science and Technology (KIOST)	643348580	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus	1847607	2027	
2505679005	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Pyrolobus fumarii 1A, DSM 11204	DOE Joint Genome Institute (JGI)	2505679005	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	Pyrolobus fumarii	1843267	2038	
646564501	Archaea	Finished	CSP_300154_796307	Aciduliprofundum boonei T469	DOE Joint Genome Institute (JGI)	646564501	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	Aciduliprofundum boonei	1486778	1587	
650716001	Archaea	Finished	Acidianus hospitalis W1	Acidianus hospitalis W1	University of Copenhagen	650716001	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus hospitalis	2137654	2404	
638154517	Archaea	Finished	Sulfolobus acidocaldarius 98-3, DSM 639	Sulfolobus acidocaldarius 98-3, DSM 639	Epidauros Biotechnologie AG	638154517	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2225959	2343	
643692047	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.16.4	DOE Joint Genome Institute (JGI)	643692047	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2586647	2869	
2501025505	Archaea	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Palaeococcus ferrophilus DMJ, DSM 13482	DOE Joint Genome Institute (JGI)	2501025505	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus ferrophilus	2206431	2399	
648028035	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Ignisphaera aggregans AQ1.S1, DSM 17230	DOE Joint Genome Institute (JGI)	648028035	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans	1875953	2042	
2513237177	Archaea	Finished	Fervidicoccus fontis Kam940	Fervidicoccus fontis Kam940	Russian Academy of Science, Centre Bioengineering	2513237177	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus	Fervidicoccus fontis	1319206	1439	
639633053	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum islandicum DSM 4184	DOE Joint Genome Institute (JGI)	639633053	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum islandicum	1826402	2063	
2636415612	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina thermophila TM-1	University of Illinois, Urbana-Champaign	2636415612	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina thermophila	3127379	2773	
650716079	Archaea	Finished	Pyrococcus sp. NA2	Pyrococcus sp. NA2	Korea Institute of Ocean Science and Technology (KIOST)	650716079	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus sp. NA2	1861320	2029	
2511231117	Archaea	Finished	Pyrobaculum ferrireducens 1860	Pyrobaculum ferrireducens 1860	Russian Academy of Science, Centre Bioengineering	2511231117	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum ferrireducens	2467972	2888	
2513020047	Archaea	Finished	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus fermentans Z-1312, DSM 16532	DOE Joint Genome Institute (JGI)	2513020047	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus fermentans	1384116	1522	
