NC_000913, Escherichia coli (NC_000913)
NC_009142, Saccharopolyspora erythraea (NC_009142)
NC_009254, Burkholderia vietnamiensis (NC_009254)
NC_009255, Burkholderia vietnamiensis (NC_009255)
NC_009256, Burkholderia vietnamiensis (NC_009256)
NC_009328, Geobacillus thermodenitrificans (NC_009328)
NC_009338, Mycobacterium gilvum (NC_009338)
NC_009342, Corynebacterium glutamicum (NC_009342)
NC_009380, Salinispora tropica (NC_009380)
NC_009428, Rhodobacter sphaeroides (NC_009428)
NC_009434, Pseudomonas stutzeri (NC_009434)
NC_009436, Enterobacter sp. (NC_009436)
NC_009438, Shewanella putrefaciens (NC_009438)
NC_009439, Pseudomonas mendocina (NC_009439)
NC_009441, Flavobacterium johnsoniae (NC_009441)
NC_009445, Bradyrhizobium sp. (NC_009445)
NC_009455, Dehalococcoides mccartyi (NC_009455)
NC_009480, Clavibacter michiganensis (NC_009480)
NC_009483, Geobacter uraniireducens (NC_009483)
NC_009484, Acidiphilium cryptum (NC_009484)
NC_009494, Legionella pneumophila (NC_009494)
NC_009504, Brucella ovis (NC_009504)
NC_009505, Brucella ovis (NC_009505)
NC_009511, Sphingomonas wittichii (NC_009511)
NC_009512, Pseudomonas putida (NC_009512)
NC_009524, Psychrobacter sp. (NC_009524)
NC_009565, Mycobacterium tuberculosis (NC_009565)
NC_009617, Clostridium beijerinckii (NC_009617)
NC_009648, Klebsiella pneumoniae (NC_009648)
NC_009654, Marinomonas sp. (NC_009654)
NC_009659, Janthinobacterium sp. (NC_009659)
NC_009664, Kineococcus radiotolerans (NC_009664)
NC_009667, Ochrobactrum anthropi (NC_009667)
NC_009668, Ochrobactrum anthropi (NC_009668)
NC_009674, Bacillus cytotoxicus (NC_009674)
NC_009675, Anaeromyxobacter sp. (NC_009675)
NC_009698, Clostridium botulinum (NC_009698)
NC_009706, Clostridium kluyveri (NC_009706)
NC_009715, Campylobacter curvus (NC_009715)
NC_009720, Xanthobacter autotrophicus (NC_009720)
NC_009725, Bacillus velezensis (NC_009725)
NC_009792, Citrobacter koseri (NC_009792)
NC_009802, Campylobacter concisus (NC_009802)
NC_009832, Serratia proteamaculans (NC_009832)
NC_009848, Bacillus pumilus (NC_009848)
NC_009943, Desulfococcus oleovorans (NC_009943)
NC_009953, Salinispora arenicola (NC_009953)
NC_010001, Lachnoclostridium phytofermentans (NC_010001)
NC_010002, Delftia acidovorans (NC_010002)
NC_010084, Burkholderia multivorans (NC_010084)
NC_010086, Burkholderia multivorans (NC_010086)
NC_010087, Burkholderia multivorans (NC_010087)
NC_010103, Brucella canis (NC_010103)
NC_010104, Brucella canis (NC_010104)
NC_010162, Sorangium cellulosum (NC_010162)
NC_010163, Acholeplasma laidlawii (NC_010163)
NC_010167, Brucella suis (NC_010167)
NC_010168, Renibacterium salmoninarum (NC_010168)
NC_010169, Brucella suis (NC_010169)
NC_010170, Bordetella petrii (NC_010170)
NC_010172, Methylobacterium extorquens (NC_010172)
NC_010184, Bacillus weihenstephanensis (NC_010184)
NC_010320, Thermoanaerobacter sp. (NC_010320)
NC_010321, Thermoanaerobacter pseudethanolicus (NC_010321)
NC_010322, Pseudomonas putida (NC_010322)
NC_010336, Francisella philomiragia (NC_010336)
NC_010337, Heliobacterium modesticaldum (NC_010337)
NC_010338, Caulobacter sp. (NC_010338)
NC_010424, Candidatus Desulforudis (NC_010424)
NC_010465, Yersinia pseudotuberculosis (NC_010465)
NC_010468, Escherichia coli (NC_010468)
NC_010473, Escherichia coli (NC_010473)
NC_010501, Pseudomonas putida (NC_010501)
NC_010505, Methylobacterium radiotolerans (NC_010505)
NC_010508, Burkholderia cenocepacia (NC_010508)
NC_010511, Methylobacterium sp. (NC_010511)
NC_010512, Burkholderia cenocepacia (NC_010512)
NC_010515, Burkholderia cenocepacia (NC_010515)
NC_010516, Clostridium botulinum (NC_010516)
NC_010520, Clostridium botulinum (NC_010520)
NC_010524, Leptothrix cholodnii (NC_010524)
NC_010528, Cupriavidus taiwanensis (NC_010528)
NC_010530, Cupriavidus taiwanensis (NC_010530)
NC_010551, Burkholderia ambifaria (NC_010551)
NC_010552, Burkholderia ambifaria (NC_010552)
NC_010554, Proteus mirabilis (NC_010554)
NC_010556, Exiguobacterium sibiricum (NC_010556)
NC_010557, Burkholderia ambifaria (NC_010557)
NC_010571, Opitutus terrae (NC_010571)
NC_010572, Streptomyces griseus (NC_010572)
NC_010577, Xylella fastidiosa (NC_010577)
NC_010581, Beijerinckia indica (NC_010581)
NC_010602, Leptospira biflexa (NC_010602)
NC_010617, Kocuria rhizophila (NC_010617)
NC_010622, Paraburkholderia phymatum (NC_010622)
NC_010623, Paraburkholderia phymatum (NC_010623)
NC_010628, Nostoc punctiforme (NC_010628)
NC_010634, Yersinia pseudotuberculosis (NC_010634)
NC_010676, Paraburkholderia phytofirmans (NC_010676)
NC_010677, Francisella tularensis (NC_010677)
NC_010678, Ralstonia pickettii (NC_010678)
NC_010681, Paraburkholderia phytofirmans (NC_010681)
NC_010682, Ralstonia pickettii (NC_010682)
NC_010688, Xanthomonas campestris (NC_010688)
NC_010694, Erwinia tasmaniensis (NC_010694)
NC_010725, Methylobacterium populi (NC_010725)
NC_010730, Sulfurihydrogenibium sp. (NC_010730)
NC_010794, Methylacidiphilum infernorum (NC_010794)
NC_010814, Geobacter lovleyi (NC_010814)
NC_010842, Leptospira biflexa (NC_010842)
NC_010943, Stenotrophomonas maltophilia (NC_010943)
NC_010994, Rhizobium etli (NC_010994)
NC_010995, Cellvibrio japonicus (NC_010995)
NC_011004, Rhodopseudomonas palustris (NC_011004)
NC_011071, Stenotrophomonas maltophilia (NC_011071)
NC_011080, Salmonella enterica (NC_011080)
NC_011083, Salmonella enterica (NC_011083)
NC_011094, Salmonella enterica (NC_011094)
NC_011145, Anaeromyxobacter sp. (NC_011145)
NC_011146, Geobacter bemidjiensis (NC_011146)
NC_011149, Salmonella enterica (NC_011149)
NC_011205, Salmonella enterica (NC_011205)
NC_011365, Gluconacetobacter diazotrophicus (NC_011365)
NC_011369, Rhizobium leguminosarum (NC_011369)
NC_011658, Bacillus cereus (NC_011658)
NC_011660, Listeria monocytogenes (NC_011660)
NC_011662, Thauera sp. (NC_011662)
NC_011666, Methylocella silvestris (NC_011666)
NC_011725, Bacillus cereus (NC_011725)
NC_011726, Cyanothece sp. (NC_011726)
NC_011729, Cyanothece sp. (NC_011729)
NC_011757, Methylobacterium extorquens (NC_011757)
NC_011761, Acidithiobacillus ferrooxidans (NC_011761)
NC_011769, Desulfovibrio vulgaris (NC_011769)
NC_011770, Pseudomonas aeruginosa (NC_011770)
NC_011772, Bacillus cereus (NC_011772)
NC_011773, Bacillus cereus (NC_011773)
NC_011830, Desulfitobacterium hafniense (NC_011830)
NC_011837, Clostridium kluyveri (NC_011837)
NC_011852, Haemophilus parasuis (NC_011852)
NC_011884, Cyanothece sp. (NC_011884)
NC_011886, Pseudarthrobacter chlorophenolicus (NC_011886)
NC_011891, Anaeromyxobacter dehalogenans (NC_011891)
NC_011894, Methylobacterium nodulans (NC_011894)
NC_011898, Clostridium cellulolyticum (NC_011898)
NC_011958, Rhodobacter sphaeroides (NC_011958)
NC_011963, Rhodobacter sphaeroides (NC_011963)
NC_011969, Bacillus cereus (NC_011969)
NC_011979, Geobacter daltonii (NC_011979)
NC_011985, Agrobacterium radiobacter (NC_011985)
NC_011988, Agrobacterium vitis (NC_011988)
NC_011989, Agrobacterium vitis (NC_011989)
NC_011992, Acidovorax ebreus (NC_011992)
NC_012004, Streptococcus uberis (NC_012004)
NC_012039, Campylobacter lari (NC_012039)
NC_012207, Mycobacterium bovis (NC_012207)
NC_012214, Erwinia pyrifoliae (NC_012214)
NC_012438, Sulfurihydrogenibium azorense (NC_012438)
NC_012472, Bacillus cereus (NC_012472)
NC_012483, Acidobacterium capsulatum (NC_012483)
NC_012488, Listeria monocytogenes (NC_012488)
NC_012489, Gemmatimonas aurantiaca (NC_012489)
NC_012491, Brevibacillus brevis (NC_012491)
NC_012522, Rhodococcus opacus (NC_012522)
NC_012526, Deinococcus deserti (NC_012526)
NC_012560, Azotobacter vinelandii (NC_012560)
NC_012563, Clostridium botulinum (NC_012563)
NC_012658, Clostridium botulinum (NC_012658)
NC_012659, Bacillus anthracis (NC_012659)
NC_012660, Pseudomonas fluorescens (NC_012660)
NC_012669, Beutenbergia cavernae (NC_012669)
NC_012673, Exiguobacterium sp. (NC_012673)
NC_012721, Burkholderia glumae (NC_012721)
NC_012724, Burkholderia glumae (NC_012724)
NC_012731, Klebsiella pneumoniae (NC_012731)
NC_012778, Eubacterium eligens (NC_012778)
NC_012791, Variovorax paradoxus (NC_012791)
NC_012796, Desulfovibrio magneticus (NC_012796)
NC_012803, Micrococcus luteus (NC_012803)
NC_012850, Rhizobium leguminosarum (NC_012850)
NC_012856, Ralstonia pickettii (NC_012856)
NC_012857, Ralstonia pickettii (NC_012857)
NC_012881, Desulfovibrio salexigens (NC_012881)
NC_012917, Pectobacterium carotovorum (NC_012917)
NC_012918, Geobacter sp. (NC_012918)
NC_012947, Escherichia coli (NC_012947)
NC_012967, Escherichia coli (NC_012967)
NC_012971, Escherichia coli (NC_012971)
NC_012988, Methylobacterium extorquens (NC_012988)
NC_013016, Neisseria meningitidis (NC_013016)
NC_013061, Pedobacter heparinus (NC_013061)
NC_013062, Flavobacteriaceae bacterium (NC_013062)
NC_013118, Brucella microti (NC_013118)
NC_013119, Brucella microti (NC_013119)
NC_013131, Catenulispora acidiphila (NC_013131)
NC_013132, Chitinophaga pinensis (NC_013132)
NC_013159, Saccharomonospora viridis (NC_013159)
NC_013161, Cyanothece sp. (NC_013161)
NC_013173, Desulfomicrobium baculatum (NC_013173)
NC_013194, Candidatus Accumulibacter (NC_013194)
NC_013209, Acetobacter pasteurianus (NC_013209)
NC_013355, Zymomonas mobilis (NC_013355)
NC_013421, Pectobacterium parmentieri (NC_013421)
NC_013446, Comamonas testosteroni (NC_013446)
NC_013510, Thermomonospora curvata (NC_013510)
NC_013512, Sulfurospirillum deleyianum (NC_013512)
NC_013525, Thermobaculum terrenum (NC_013525)
NC_013530, Xylanimonas cellulosilytica (NC_013530)
NC_013552, Dehalococcoides mccartyi (NC_013552)
NC_013592, Dickeya zeae (NC_013592)
NC_013595, Streptosporangium roseum (NC_013595)
NC_013722, Xanthomonas albilineans (NC_013722)
NC_013729, Kribbella flavida (NC_013729)
NC_013766, Listeria monocytogenes (NC_013766)
NC_013768, Listeria monocytogenes (NC_013768)
NC_013791, Bacillus pseudofirmus (NC_013791)
NC_013850, Klebsiella variicola (NC_013850)
NC_013854, Azospirillum sp. (NC_013854)
NC_013861, Legionella longbeachae (NC_013861)
NC_013890, Dehalococcoides mccartyi (NC_013890)
NC_013891, Listeria seeligeri (NC_013891)
NC_013892, Xenorhabdus bovienii (NC_013892)
NC_013921, Thermoanaerobacter italicus (NC_013921)
NC_013929, Streptomyces scabiei (NC_013929)
NC_013941, Escherichia coli (NC_013941)
NC_013943, Denitrovibrio acetiphilus (NC_013943)
NC_013947, Stackebrandtia nassauensis (NC_013947)
NC_013961, Erwinia amylovora (NC_013961)
NC_013971, Erwinia amylovora (NC_013971)
NC_014006, Sphingobium japonicum (NC_014006)
NC_014013, Sphingobium japonicum (NC_014013)
NC_014019, Bacillus megaterium (NC_014019)
NC_014034, Rhodobacter capsulatus (NC_014034)
NC_014100, Caulobacter segnis (NC_014100)
NC_014103, Bacillus megaterium (NC_014103)
NC_014117, Burkholderia sp. (NC_014117)
NC_014118, Burkholderia sp. (NC_014118)
NC_014125, Legionella pneumophila (NC_014125)
NC_014145, Thiomonas arsenitoxydans (NC_014145)
NC_014151, Cellulomonas flavigena (NC_014151)
NC_014153, Thiomonas intermedia (NC_014153)
NC_014158, Tsukamurella paurometabola (NC_014158)
NC_014166, Arcobacter nitrofigilis (NC_014166)
NC_014171, Bacillus thuringiensis (NC_014171)
NC_014210, Nocardiopsis dassonvillei (NC_014210)
NC_014211, Nocardiopsis dassonvillei (NC_014211)
NC_014215, Propionibacterium freudenreichii (NC_014215)
NC_014217, Starkeya novella (NC_014217)
NC_014228, Xenorhabdus nematophila (NC_014228)
NC_014259, Acinetobacter oleivorans (NC_014259)
NC_014307, Ralstonia solanacearum (NC_014307)
NC_014311, Ralstonia solanacearum (NC_014311)
NC_014313, Hyphomicrobium denitrificans (NC_014313)
NC_014314, Dehalogenimonas lykanthroporepellens (NC_014314)
NC_014319, Leuconostoc gelidum (NC_014319)
NC_014328, Clostridium ljungdahlii (NC_014328)
NC_014330, Brachyspira pilosicoli (NC_014330)
NC_014364, Sediminispirochaeta smaragdinae (NC_014364)
NC_014365, Desulfarculus baarsii (NC_014365)
NC_014393, Clostridium cellulovorans (NC_014393)
NC_014394, Gallionella capsiferriformans (NC_014394)
NC_014479, Bacillus subtilis (NC_014479)
NC_014483, Paenibacillus polymyxa (NC_014483)
NC_014500, Dickeya dadantii (NC_014500)
NC_014501, Cyanothece sp. (NC_014501)
NC_014532, Halomonas elongata (NC_014532)
NC_014538, Thermoanaerobacter sp. (NC_014538)
NC_014551, Bacillus amyloliquefaciens (NC_014551)
NC_014614, Acetoanaerobium sticklandii (NC_014614)
NC_014618, Enterobacter lignolyticus (NC_014618)
NC_014622, Paenibacillus polymyxa (NC_014622)
NC_014623, Stigmatella aurantiaca (NC_014623)
NC_014625, Ketogulonicigenium vulgare (NC_014625)
NC_014632, Ilyobacter polytropus (NC_014632)
NC_014639, Bacillus atrophaeus (NC_014639)
NC_014640, Achromobacter xylosoxidans (NC_014640)
NC_014654, Halanaerobium hydrogeniformans (NC_014654)
NC_014655, Leadbetterella byssophila (NC_014655)
NC_014659, Rhodococcus hoagii (NC_014659)
NC_014666, Frankia inefficax (NC_014666)
NC_014722, Paraburkholderia rhizoxinica (NC_014722)
NC_014733, Methylovorus sp. (NC_014733)
NC_014734, Paludibacter propionicigenes (NC_014734)
NC_014815, Micromonospora sp. (NC_014815)
NC_014816, Asticcacaulis excentricus (NC_014816)
NC_014817, Asticcacaulis excentricus (NC_014817)
NC_014829, Bacillus cellulosilyticus (NC_014829)
NC_014831, Thermaerobacter marianensis (NC_014831)
NC_014833, Ruminococcus albus (NC_014833)
NC_014834, Rhodopseudomonas palustris (NC_014834)
NC_014844, Pseudodesulfovibrio aespoeensis (NC_014844)
NC_014910, Alicycliphilus denitrificans (NC_014910)
NC_014924, Pseudoxanthomonas suwonensis (NC_014924)
NC_014958, Deinococcus maricopensis (NC_014958)
NC_014963, Terriglobus saanensis (NC_014963)
NC_014972, Desulfobulbus propionicus (NC_014972)
NC_014973, Geobacter sp. (NC_014973)
NC_014976, Bacillus subtilis (NC_014976)
NC_015061, Rahnella sp. (NC_015061)
NC_015136, Burkholderia sp. (NC_015136)
NC_015137, Burkholderia sp. (NC_015137)
NC_015145, Pseudarthrobacter phenanthrenivorans (NC_015145)
NC_015161, Deinococcus proteolyticus (NC_015161)
NC_015167, Cellulophaga lytica (NC_015167)
NC_015177, Pseudopedobacter saltans (NC_015177)
NC_015222, Nitrosomonas sp. (NC_015222)
NC_015312, Pseudonocardia dioxanivorans (NC_015312)
NC_015376, Burkholderia gladioli (NC_015376)
NC_015379, Pseudomonas brassicacearum (NC_015379)
NC_015381, Burkholderia gladioli (NC_015381)
NC_015425, Clostridium botulinum (NC_015425)
NC_015433, Streptococcus suis (NC_015433)
NC_015460, Gallibacterium anatis (NC_015460)
NC_015520, Mahella australiensis (NC_015520)
NC_015563, Delftia sp. (NC_015563)
NC_015565, Desulfotomaculum nigrificans (NC_015565)
NC_015567, Serratia plymuthica (NC_015567)
NC_015573, Desulfotomaculum kuznetsovii (NC_015573)
NC_015577, Treponema azotonutricium (NC_015577)
NC_015578, Treponema primitia (NC_015578)
NC_015580, Novosphingobium sp. (NC_015580)
NC_015589, Desulfotomaculum ruminis (NC_015589)
NC_015590, Sinorhizobium meliloti (NC_015590)
NC_015593, Sphingobium chlorophenolicum (NC_015593)
NC_015594, Sphingobium chlorophenolicum (NC_015594)
NC_015601, Erysipelothrix rhusiopathiae (NC_015601)
NC_015634, Bacillus coagulans (NC_015634)
NC_015635, Microlunatus phosphovorus (NC_015635)
NC_015656, Frankia symbiont (NC_015656)
NC_015675, Mesorhizobium opportunistum (NC_015675)
NC_015677, Ramlibacter tataouinensis (NC_015677)
NC_015683, Corynebacterium ulcerans (NC_015683)
NC_015684, Oligotropha carboxidovorans (NC_015684)
NC_015687, Clostridium acetobutylicum (NC_015687)
NC_015690, Paenibacillus mucilaginosus (NC_015690)
NC_015696, Francisella sp. (NC_015696)
NC_015707, Pseudothermotoga thermarum (NC_015707)
NC_015717, Hyphomicrobium sp. (NC_015717)
NC_015723, Cupriavidus necator (NC_015723)
NC_015726, Cupriavidus necator (NC_015726)
NC_015733, Pseudomonas putida (NC_015733)
NC_015734, Leuconostoc sp. (NC_015734)
NC_015758, Mycobacterium africanum (NC_015758)
NC_015846, Capnocytophaga canimorsus (NC_015846)
NC_015856, Collimonas fungivorans (NC_015856)
NC_015857, Brucella pinnipedialis (NC_015857)
NC_015858, Brucella pinnipedialis (NC_015858)
NC_015859, Corynebacterium variabile (NC_015859)
NC_015942, Acidithiobacillus ferrivorans (NC_015942)
NC_015947, Stenotrophomonas maltophilia (NC_015947)
NC_015953, Streptomyces sp. (NC_015953)
NC_015957, Streptomyces violaceusniger (NC_015957)
NC_015976, Sphingobium sp. (NC_015976)
NC_016001, Flavobacterium branchiophilum (NC_016001)
NC_016002, Pseudogulbenkiania sp. (NC_016002)
NC_016023, Bacillus coagulans (NC_016023)
NC_016024, Chloracidobacterium thermophilum (NC_016024)
NC_016026, Micavibrio aeruginosavorus (NC_016026)
NC_016047, Bacillus subtilis (NC_016047)
NC_016109, Kitasatospora setae (NC_016109)
NC_016111, Streptomyces cattleya (NC_016111)
NC_016114, Streptomyces pratensis (NC_016114)
NC_016147, Pseudoxanthomonas spadix (NC_016147)
NC_016148, Thermovirga lienii (NC_016148)
NC_016510, Flavobacterium columnare (NC_016510)
NC_016514, Enterobacter cloacae (NC_016514)
NC_016582, Streptomyces bingchenggensis (NC_016582)
NC_016584, Desulfosporosinus orientis (NC_016584)
NC_016589, Burkholderia sp. (NC_016589)
NC_016590, Burkholderia sp. (NC_016590)
NC_016604, Mycobacterium rhodesiae (NC_016604)
NC_016609, Niastella koreensis (NC_016609)
NC_016612, Klebsiella michiganensis (NC_016612)
NC_016616, Dechlorosoma suillum (NC_016616)
NC_016617, Azospirillum brasilense (NC_016617)
NC_016620, Halobacteriovorax marinus (NC_016620)
NC_016622, Azospirillum lipoferum (NC_016622)
NC_016625, Burkholderia sp. (NC_016625)
NC_016627, Clostridium clariflavum (NC_016627)
NC_016629, Desulfovibrio africanus (NC_016629)
NC_016631, Granulicella mallensis (NC_016631)
NC_016641, Paenibacillus terrae (NC_016641)
NC_016771, Bacillus cereus (NC_016771)
NC_016779, Bacillus cereus (NC_016779)
NC_016784, Bacillus velezensis (NC_016784)
NC_016790, Corynebacterium diphtheriae (NC_016790)
NC_016800, Corynebacterium diphtheriae (NC_016800)
NC_016801, Corynebacterium diphtheriae (NC_016801)
NC_016811, Legionella pneumophila (NC_016811)
NC_016812, Sinorhizobium fredii (NC_016812)
