taxon_oid	Domain	Status	Study Name	Genome	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled	
646311959	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.D.8.5	DOE Joint Genome Institute (JGI)	646311959	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2748647	2996	
650377982	Archaea	Finished	Sulfolobus islandicus REY15A	Sulfolobus islandicus REY15A	Chinese Academy of Sciences	650377982	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2522992	2753	
650716079	Archaea	Finished	Pyrococcus sp. NA2	Pyrococcus sp. NA2	Korea Institute of Ocean Science and Technology (KIOST)	650716079	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus sp. NA2	1861320	2029	
2681812991	Archaea	Permanent Draft	Thermocladium modestius JCM 10088	Thermocladium modestius JCM 10088	University of Tokyo	2681812991	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermocladium	Thermocladium modestius	1905158	4071	
2511231117	Archaea	Finished	Pyrobaculum ferrireducens 1860	Pyrobaculum ferrireducens 1860	Russian Academy of Science, Centre Bioengineering	2511231117	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum ferrireducens	2467972	2888	
2513237118	Archaea	Permanent Draft	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus mobilis DSM 2161	DOE Joint Genome Institute (JGI)	2513237118	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mobilis	1198142	1331	
2513020047	Archaea	Finished	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus fermentans Z-1312, DSM 16532	DOE Joint Genome Institute (JGI)	2513020047	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus fermentans	1384116	1522	
638154507	Archaea	Finished	Methanopyrus kandleri AV19	Methanopyrus kandleri AV19	Fidelity Systems Inc	638154507	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri	1694969	1767	
644736411	Archaea	Finished	Thermococcus gammatolerans EJ3	Thermococcus gammatolerans EJ3	CEA Genoscope	644736411	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans	2045438	2206	
644736412	Archaea	Finished	Thermococcus sibiricus MM 739	Thermococcus sibiricus MM 739	Russian Academy of Science, Centre Bioengineering	644736412	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sibiricus	1845800	2085	
2521172705	Archaea	Finished	Thermogladius cellulolyticus 1633	Thermogladius cellulolyticus 1633	Russian Academy of Science, Centre Bioengineering	2521172705	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	Thermogladius cellulolyticus	1356318	1466	
638154511	Archaea	Finished	Nanoarchaeum equitans Kin4-M	Nanoarchaeum equitans Kin4-M	Celera Genomics	638154511	Nanoarchaeota	unclassified	Nanoarchaeales	Nanoarchaeaceae	Nanoarchaeum	Nanoarchaeum equitans	490885	608	
2504136002	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Archaeoglobus veneficus SNP6, DSM 11195	DOE Joint Genome Institute (JGI)	2504136002	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus veneficus	1901943	2194	
640753029	Archaea	Finished	Ignicoccus hospitalis KIN4/I	Ignicoccus hospitalis KIN4/I, DSM 18386	DOE Joint Genome Institute (JGI)	640753029	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis	1297538	1496	
2516143104	Archaea	Permanent Draft	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus amylolyticus DSM 3822	DOE Joint Genome Institute (JGI)	2516143104	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	1307099	1453	
2505313064	Archaea	Permanent Draft	Thermofilum sp.	Thermofilum sp.	University of Maryland	2505313064	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	unclassified	3521254	2297	
643692049	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.N.15.51	DOE Joint Genome Institute (JGI)	643692049	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2854410	3318	
640069326	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum calidifontis JCM 11548	DOE Joint Genome Institute (JGI)	640069326	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis	2009313	2213	
650716056	Archaea	Finished	CSP_787660, Methanoarchaea	Methanotorris igneus Kol5, DSM 5666	DOE Joint Genome Institute (JGI)	650716056	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris igneus	1854197	1843	
646564534	Archaea	Finished	Comparative genomics of the Archaea	Ferroglobus placidus AEDII12DO, DSM 10642	DOE Joint Genome Institute (JGI)	646564534	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus	2196266	2622	
638154520	Archaea	Finished	Thermococcus kodakarensis KOD1	Thermococcus kodakarensis KOD1	Kyoto University, ANRT	638154520	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis	2088737	2428	
646564573	Archaea	Finished	Comparative genomics of the Archaea	Staphylothermus hellenicus P8, DSM 12710	DOE Joint Genome Institute (JGI)	646564573	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus	1580347	1716	
638154514	Archaea	Finished	Pyrococcus abyssi GE5	Pyrococcus abyssi GE5	CEA Genoscope	638154514	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus abyssi	1768562	2051	
639633064	Archaea	Finished	Diverse archaeal organisms	Thermofilum pendens Hrk 5	DOE Joint Genome Institute (JGI)	639633064	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum pendens	1813393	1930	
638154515	Archaea	Finished	Pyrococcus furiosus DSM 3638	Pyrococcus furiosus DSM 3638	University of Utah, University of Maryland	638154515	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus	1908256	2179	
649990020	Archaea	Permanent Draft	Sulfolobus solfataricus 98/2	Sulfolobus solfataricus 98/2	Washington State University	649990020	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	2680466	3150	
649633040	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Desulfurococcus mucosus 07/1, DSM 2162	DOE Joint Genome Institute (JGI)	649633040	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus	1314639	1421	
643692046	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.16.27	DOE Joint Genome Institute (JGI)	643692046	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2692402	2956	
2588253738	Archaea	Finished	Palaeococcus pacificus DY20341	Palaeococcus pacificus DY20341	Third Institute of Oceanography, State Oceanic Administration	2588253738	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus pacificus	1859370	2046	
2510065009	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Caldisphaera lagunensis DSM 15908	DOE Joint Genome Institute (JGI)	2510065009	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis	1546846	1591	
640427135	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum arsenaticum PZ6, DSM 13514	DOE Joint Genome Institute (JGI)	640427135	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum	2121076	2410	
646311906	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Archaeoglobus profundus Av18, DSM 5631	DOE Joint Genome Institute (JGI)	646311906	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus	1563423	1911	
640069314	Archaea	Finished	Hyperthermus butylicus DSM 5456	Hyperthermus butylicus DSM 5456	Epidauros Biotechnologie AG	640069314	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus	1667163	1669	
646564583	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Thermosphaera aggregans M11TL, DSM 11486	DOE Joint Genome Institute (JGI)	646564583	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	Thermosphaera aggregans	1316595	1457	
643348540	Archaea	Finished	Desulfurococcus kamchatkensis 1221n	Desulfurococcus kamchatkensis 1221n	Russian Academy of Science, Centre Bioengineering	643348540	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus kamchatkensis	1365223	1521	
638154513	Archaea	Finished	Pyrobaculum aerophilum IM2	Pyrobaculum aerophilum IM2	University of California, Los Angeles, California Institute of Technology	638154513	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	2222430	2625	
650377981	Archaea	Finished	Sulfolobus islandicus HVE10/4	Sulfolobus islandicus HVE10/4	University of Copenhagen	650377981	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2655201	2826	
638154518	Archaea	Finished	Sulfolobus solfataricus P2	Sulfolobus solfataricus P2	European Union (EU), ANRT	638154518	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	2992245	3141	
638154502	Archaea	Finished	Archaeoglobus fulgidus VC-16, DSM 4304	Archaeoglobus fulgidus VC-16, DSM 4304	J. Craig Venter Institute (JCVI)	638154502	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	2178400	2519	
643692044	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.S.2.15	DOE Joint Genome Institute (JGI)	643692044	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2736272	3068	
2545555825	Archaea	Permanent Draft	Aigarchaeota archaeon strain OS1	Aigarchaeota archaeon OS1	DOE Joint Genome Institute (JGI)	2545555825	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1162873	1455	
2518645553	Archaea	Finished	Thermococcus cleftensis CL1	Thermococcus cleftensis CL1	Kyunghee University	2518645553	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus cleftensis	1950313	2090	
650716080	Archaea	Finished	Pyrococcus yayanosii CH1	Pyrococcus yayanosii CH1	Shanghai Jiao Tong University	650716080	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus yayanosii	1716818	1915	
2505679052	Archaea	Permanent Draft	Ignisphaera sp.	Ignisphaera sp.	University of Maryland	2505679052	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	unclassified	3855392	2074	
643348580	Archaea	Finished	Thermococcus onnurineus NA1	Thermococcus onnurineus NA1	Korea Institute of Ocean Science and Technology (KIOST)	643348580	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus	1847607	2027	
650716097	Archaea	Finished	Thermococcus sp. 4557	Thermococcus sp. 4557	Beijing Genomics Institute (BGI)	650716097	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. 4557	2011320	2181	
2512047039	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum oguniense TE7, DSM 13380	University of California, Santa Cruz	2512047039	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense	2452920	3014	
643692048	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.G.57.14	DOE Joint Genome Institute (JGI)	643692048	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2702058	3079	
2505679005	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Pyrolobus fumarii 1A, DSM 11204	DOE Joint Genome Institute (JGI)	2505679005	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	Pyrolobus fumarii	1843267	2038	
643692045	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.14.25	DOE Joint Genome Institute (JGI)	643692045	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2608832	2900	
641228483	Archaea	Finished	Caldivirga maquilingensis IC-167	Caldivirga maquilingensis IC-167	DOE Joint Genome Institute (JGI)	641228483	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	Caldivirga maquilingensis	2077567	2011	
648028062	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Vulcanisaeta distributa DSM 14429	DOE Joint Genome Institute (JGI)	648028062	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta distributa	2374137	2592	
646862347	Archaea	Finished	Obsidian Hot Spring Microbial Community Genomics	Sulfolobus solfataricus 98/2	DOE Joint Genome Institute (JGI)	646862347	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	2668974	2728	
648028003	Archaea	Finished	Acidilobus saccharovorans 345-15	Acidilobus saccharovorans 345-15	Russian Academy of Science, Centre Bioengineering	648028003	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans	1496453	1547	
640069332	Archaea	Finished	Diverse archaeal organisms	Staphylothermus marinus F1, DSM 3639	DOE Joint Genome Institute (JGI)	640069332	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus	1570485	1659	
649633101	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Thermaerobacter marianensis 7p75a, DSM 12885	DOE Joint Genome Institute (JGI)	649633101	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter	Thermaerobacter marianensis	2844696	2435	
637000321	Bacteria	Finished	Thermotoga maritima MSB8	Thermotoga maritima MSB8	J. Craig Venter Institute (JCVI)	637000321	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	1860725	1915	
2619619099	Bacteria	Permanent Draft	Sediment and Water microbial communities from Great Boiling Spring	Candidatus Caldatribacterium saccharofermentans OP9-77CS	DOE Joint Genome Institute (JGI)	2619619099	Candidatus Atribacteria	unclassified	unclassified	unclassified	Candidatus Caldatribacteirum	Candidatus Caldatribacterium saccharofermentans	2252356	2579	
649633022	Bacteria	Finished	BESC Fast Track Microbial Sequencing	Caldicellulosiruptor hydrothermalis 108	DOE Joint Genome Institute (JGI)	649633022	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor hydrothermalis	2770676	2685	
2519899531	Bacteria	Finished	Protein structure adaptations and genome stability as reflected by species of the Thermotogales	Thermotoga maritima MSB8, DSM 3109	DOE Joint Genome Institute (JGI)	2519899531	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	1869644	1909	
2510065088	Bacteria	Permanent Draft	Comparative Genomic Studies of Carbon Monoxide Oxidizing Thermophiles: Genome divergence and Biohydrogen Production	Carboxydothermus ferrireducens DSM 11255	DOE Joint Genome Institute (JGI)	2510065088	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus ferrireducens	2441992	2628	
648028053	Bacteria	Finished	Spirochaeta thermophila DSM 6192	Spirochaeta thermophila DSM 6192	University of Gottingen	648028053	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta thermophila	2472645	2255	
2506381022	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Spirochaeta thermophila Z-1203, DSM 6578	DOE Joint Genome Institute (JGI)	2506381022	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta thermophila	2560222	2350	
2627853791	Bacteria	Finished	Complete genome sequence of T. sp. strain RQ7	Thermotoga sp. RQ7	Bowling Green State University, BGI Americas	2627853791	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. RQ7	1851618	1906	
637000318	Bacteria	Finished	Thermoanaerobacter tengcongensis MB4T	Caldanaerobacter subterraneus tengcongensis MB4T	Beijing Genomics Institute (BGI), Chinese Academy of Science, Institute of Microbiology	637000318	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus	2689445	2719	
643348584	Bacteria	Finished	Thermotoga neapolitana DSM 4359	Thermotoga neapolitana DSM 4359	Geno Technology Inc.	643348584	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana	1884562	1988	
650716039	Bacteria	Finished	Novel Microbial Enzymes	Parageobacillus thermoglucosidasius C56-YS93	DOE Joint Genome Institute (JGI)	650716039	Firmicutes	Bacilli	Bacillales	Bacillaceae	Parageobacillus	Parageobacillus thermoglucosidans	3993793	4135	
2512875013	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Thermocrinis ruber DSM 23557	DOE Joint Genome Institute (JGI)	2512875013	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis ruber	1521037	1671	
642487181	Bacteria	Finished	Acidovorax genus	Thermotoga sp. RQ2	DOE Joint Genome Institute (JGI)	642487181	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. RQ2	1877693	1868	
646564582	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Thermocrinis albus HI 11/12, DSM 14484	DOE Joint Genome Institute (JGI)	646564582	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis albus	1500577	1651	
637000010	Bacteria	Finished	Aquifex aeolicus VF5	Aquifex aeolicus VF5	Verenium Corporation, University of Illinois, Urbana-Champaign	637000010	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	Aquifex aeolicus	1590791	1613	
2537561603	Bacteria	Permanent Draft	Escherichia coli AA86	Escherichia coli AA86	Seoul National University	2537561603	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	4983288	4820	
2554235387	Bacteria	Finished	Thermotoga maritima MSB8	Thermotoga maritima MSB8	University of California, San Diego	2554235387	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	1869612	1943	
648028013	Bacteria	Finished	Caldicellulosiruptor sp. OB47	Caldicellulosiruptor obsidiansis OB47	DOE Joint Genome Institute (JGI)	648028013	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor obsidiansis	2532343	2389	
649633023	Bacteria	Finished	BESC Fast Track Microbial Sequencing	Caldicellulosiruptor kristjanssonii 177R1B, DSM 12137	DOE Joint Genome Institute (JGI)	649633023	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor kristjanssonii	2802443	2707	
637000060	Bacteria	Finished	Carboxydothermus hydrogenoformans Z-2901	Carboxydothermus hydrogenoformans Z-2901	J. Craig Venter Institute (JCVI)	637000060	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	2401520	2738	
2503508007	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Pseudothermotoga thermarum DSM 5069	DOE Joint Genome Institute (JGI)	2503508007	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga thermarum	2039943	2066	
2687453609	Bacteria	Finished	Thermotoga maritima Genome sequencing and assembly - University of Nebraska, Lincoln	Thermotoga maritima MSB8	University of Nebraska, Lincoln	2687453609	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	1869610	1901	
640427150	Bacteria	Finished	Thermotogales	Thermotoga petrophila RKU-1	DOE Joint Genome Institute (JGI)	640427150	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila	1823511	1865	
651324017	Bacteria	Permanent Draft	Caldalkalibacillus thermarum TA2.A1	Caldalkalibacillus thermarum TA2.A1	Oak Ridge National Laboratory	651324017	Firmicutes	Bacilli	Bacillales	Bacillaceae	Caldalkalibacillus	Caldalkalibacillus thermarum	2895463	3067	
649633025	Bacteria	Finished	BESC Fast Track Microbial Sequencing	Caldicellulosiruptor owensensis OL	DOE Joint Genome Institute (JGI)	649633025	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor owensensis	2428903	2322	
